,time,latitude,longitude,elevation
430,2020-10-09 12:45:07,52.378179571,9.726751624,64.07
431,2020-10-09 12:45:10,52.378159119,9.726709798,64.55
432,2020-10-09 12:45:13,52.378147887,9.726666631,64.07
433,2020-10-09 12:45:15,52.378137074,9.72664224,64.07
434,2020-10-09 12:45:16,52.378130956,9.726632182,64.07
435,2020-10-09 12:45:18,52.378126849,9.72660888,64.07
436,2020-10-09 12:45:20,52.378120646,9.726588512,64.07
437,2020-10-09 12:45:22,52.378115701,9.726564623,64.55
438,2020-10-09 12:45:23,52.378109498,9.726552889,64.55
439,2020-10-09 12:45:25,52.378105056,9.726535706,64.55
440,2020-10-09 12:45:27,52.378094746,9.726515254,64.55
441,2020-10-09 12:45:30,52.378083514,9.726487007,64.55
442,2020-10-09 12:45:32,52.378078233,9.72646798,64.55
443,2020-10-09 12:45:37,52.378059458,9.726421041,64.55
444,2020-10-09 12:45:40,52.378047807,9.726379132,64.55
445,2020-10-09 12:45:45,52.378022913,9.726316435,64.55
446,2020-10-09 12:45:47,52.378015705,9.72629087,65.03
447,2020-10-09 12:45:49,52.37800464,9.726272598,65.03
