ObsLatentHeat(mm.day),ObsSensibleHeat(mm.day),ModNetRadiation(mm.day),ModTsLessTa(K)
1.80092,3.56882,5.82743,6.49098
4.70977,0.683015,5.54603,-2.58557
1.76364,3.40669,7.05180,8.00471
2.72088,0.634920,5.56355,-3.83507
3.55959,1.96326,5.56848,1.10087
4.88855,1.36456,6.53433,2.85822
5.12177,2.45370,6.55297,-3.57009
3.26343,2.80100,7.07372,4.06594
2.14159,3.48885,5.50899,2.85718
4.98721,0.988755,6.01122,-4.87547
1.24310,3.10960,4.81005,7.56724
4.15579,2.44364,6.59553,0.628671
3.72135,1.45231,4.92425,-1.01344
2.16028,3.10910,5.08047,6.00191
3.06433,1.87117,5.09653,-0.878240
0.354742,4.13537,6.48294,7.01875
0.930621,3.50749,5.20546,4.64783
2.96239,2.65903,6.32776,0.827911
3.09337,1.42819,4.58498,-0.599440
4.02193,2.16341,5.88762,-3.62958
4.19266,0.999828,6.03507,-0.645531
1.13943,3.12702,4.62995,4.18561
4.95775,0.970317,5.91955,-4.86760
3.63213,0.990397,3.42788,2.29599
3.13992,1.14326,3.82350,-0.405188
2.31292,1.79187,3.79303,3.41873
3.02641,0.994690,3.66068,-1.00293
1.52954,2.61523,5.45000,5.13911
1.61074,2.15670,4.23722,3.10595
1.61170,2.54120,5.32621,4.79345
2.35657,0.984096,3.31360,0.154890
3.24291,2.68191,5.58033,-0.396036
4.08774,1.05649,5.27906,2.43894
1.39315,1.77218,3.30039,1.70179
4.29638,1.52033,5.54314,-2.69007
3.70177,2.01505,4.94393,1.73924
2.32208,0.657679,2.77228,-0.272615
1.66081,1.24649,2.75917,3.94080
2.11588,0.230021,2.58519,-0.146282
0.942620,2.61992,4.55042,4.89046
0.912422,1.69634,3.08204,2.97434
3.70005,-0.104970,3.83361,-1.10818
1.17298,2.48601,4.45238,9.30114
1.64330,0.776438,2.45971,0.721132
2.13788,NaN,3.03178,2.07136
2.37801,1.95943,4.67375,0.942210
3.42896,0.758198,4.25873,1.78728
1.76600,0.549465,2.31839,-0.963651
3.34057,0.827775,4.76596,-2.11929
2.20872,1.65594,3.80366,1.37192
1.55058,0.451361,1.72164,-0.909514
1.04846,0.462391,1.57392,1.43357
1.61631,-0.210938,1.41676,-1.53453
0.152805,2.67133,3.57754,4.22662
0.738224,0.970097,1.90869,0.519493
2.97913,-0.333175,3.10068,-2.02089
1.09441,1.77350,3.40475,5.69423
1.16829,0.0781796,1.81064,1.00289
1.65642,1.58431,4.29900,4.13909
2.09963,1.16323,3.83319,4.31118
2.76286,1.14596,4.53421,-0.224618
1.04475,1.84166,3.34986,3.90194
1.15704,0.251487,1.22258,0.142304
1.07045,-0.440819,1.00615,-1.20263
0.647941,0.534983,1.45022,0.00107140
2.60460,0.241829,3.12097,-0.434736
1.09140,1.63641,2.56723,3.86792
0.456001,2.95034,3.84044,3.96298
1.53992,1.70679,4.22292,3.49483
1.47754,1.75006,3.77318,3.00718
2.34386,1.70236,4.55070,-0.189975
0.586667,2.20194,3.44533,2.16253
1.11478,0.187933,1.26195,0.246354
1.43699,-0.179751,1.14451,-0.573618
0.596607,0.616320,1.66117,0.105069
2.37439,-0.0696176,2.62779,-0.946828
0.0650819,2.53533,3.03712,4.47911
1.00658,0.513785,1.52425,0.187762
1.49120,1.22045,2.79807,0.943241
0.984019,-0.152716,1.48977,0.697873
0.380799,2.94499,4.64532,7.23372
1.71207,2.02754,5.14390,5.31871
1.23880,2.36128,4.58892,6.94394
2.87846,0.760554,2.85672,0.178781
1.96615,2.93433,5.57431,2.33453
1.96786,0.0649492,1.81544,1.24465
0.526122,2.75876,4.20188,6.62881
1.38897,0.585045,2.01842,1.26060
1.90897,0.0558167,1.79040,-0.875063
0.697328,1.19887,2.41973,0.563900
2.38665,0.974755,3.56628,-0.794951
0.0916680,2.85747,3.65987,8.06694
1.31015,0.725484,2.26101,2.17361
1.75815,1.52384,3.78458,2.83920
1.14080,0.0104734,2.26559,1.45323
0.294369,3.24197,5.65413,7.17575
2.04458,2.42373,6.12137,4.63695
1.15567,2.65906,5.31047,6.69375
2.60760,1.64854,3.97647,1.56133
1.70463,3.73910,6.64050,4.82393
2.83033,0.224344,2.89394,1.51806
0.598866,2.70281,5.02367,5.93957
1.34406,1.91901,3.49075,-0.434576
1.57979,1.40773,3.21008,2.07577
2.57275,0.690837,3.07526,-0.927289
0.0387768,3.66514,5.09700,8.14731
0.635071,2.41799,3.63384,3.92518
