year,temp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,mnth_lowest,8.3,8.3,7.5,4.2,3.6,2.4,1.0,2.1,1.8,3.3,4.7,7.5
1900,mnth_mean_max,27.6,26.1,22.5,17.1,15.2,14.1,12.6,13.5,15.4,19.1,20.9,25.1
1900,mnth_mean_min,14.8,13.7,11.9,10.0,8.4,6.7,5.4,5.7,7.7,8.6,10.2,12.1
1901,mnth_highest,36.7,43.1,39.0,28.1,22.7,15.5,14.8,18.3,24.5,28.6,36.1,39.9
1901,mnth_lowest,8.1,9.5,7.5,4.3,2.7,-0.6,-1.1,1.1,4.4,2.9,4.1,6.5
1901,mnth_mean_max,24.2,27.0,24.1,19.1,17.0,11.9,11.2,13.7,17.6,18.7,24.5,24.6
1901,mnth_mean_min,12.5,14.2,12.5,9.7,8.9,4.8,4.3,6.7,9.2,9.2,12.1,12.4
1902,mnth_highest,39.4,35.1,35.1,31.2,22.1,15.9,18.0,20.3,26.7,28.1,38.5,38.7
1902,mnth_lowest,7.9,8.5,4.6,6.6,2.8,1.8,-0.5,-1.3,1.7,3.9,7.2,8.9
1902,mnth_mean_max,25.4,23.7,21.6,19.9,16.7,13.4,13.8,13.4,16.7,19.4,24.8,24.1
1902,mnth_mean_min,13.0,12.7,11.9,10.1,8.8,5.7,5.6,4.2,7.1,9.4,12.1,13.1
1903,mnth_highest,40.5,40.2,37.7,31.3,21.7,15.6,20.1,19.9,26.7,30.9,34.3,35.3
1903,mnth_lowest,9.3,5.9,6.2,6.9,0.7,0.6,-1.6,-0.9,1.3,4.9,5.5,7.5
1903,mnth_mean_max,25.2,24.6,25.0,19.4,14.9,12.5,13.1,14.5,17.0,21.2,22.3,22.6
1903,mnth_mean_min,13.0,13.3,12.9,10.7,7.6,6.0,5.3,5.1,8.6,10.4,12.0,13.0
1904,mnth_highest,34.5,35.9,26.2,30.5,25.4,18.3,18.0,17.1,20.7,31.5,33.4,38.9
1904,mnth_lowest,8.9,9.4,5.3,5.4,2.1,0.5,-0.3,1.1,1.7,3.4,5.3,7.1
1904,mnth_mean_max,23.8,23.1,20.1,21.8,17.9,13.8,13.2,14.1,15.1,20.0,21.6,25.6
1904,mnth_mean_min,13.9,13.8,11.5,10.5,9.0,7.2,6.0,6.6,6.3,9.4,10.4,11.8
1905,mnth_highest,42.5,38.7,35.6,31.3,28.7,16.7,17.1,18.6,21.1,22.2,34.1,37.1
1905,mnth_lowest,7.5,8.3,6.7,3.7,3.5,3.0,1.7,0.0,0.0,2.2,5.3,8.3
1905,mnth_mean_max,27.3,24.8,23.1,20.9,17.6,13.7,12.7,14.6,13.5,15.5,21.6,22.3
1905,mnth_mean_min,14.0,13.1,11.3,11.3,8.6,8.1,6.1,6.1,5.6,7.5,9.8,11.7
1906,mnth_highest,43.1,40.6,32.2,29.0,23.7,20.5,18.3,19.7,24.5,28.7,30.7,36.0
1906,mnth_lowest,7.3,9.1,7.6,4.6,3.1,0.9,0.5,-0.5,2.2,3.2,4.7,6.8
1906,mnth_mean_max,27.5,27.4,23.1,20.3,16.0,15.3,13.5,13.9,16.8,18.7,19.4,24.2
1906,mnth_mean_min,13.7,14.7,12.6,11.5,9.1,8.1,6.8,6.1,7.6,9.2,9.7,12.0
1907,mnth_highest,35.3,39.9,31.6,32.2,23.2,22.3,18.5,19.3,27.9,31.8,34.9,40.7
1907,mnth_lowest,9.9,7.3,6.1,6.1,4.3,0.1,-0.5,3.6,-0.1,3.5,6.8,7.5
1907,mnth_mean_max,24.4,24.0,21.7,18.8,17.7,13.3,12.8,15.6,18.3,20.0,24.0,22.9
1907,mnth_mean_min,13.9,12.1,11.6,10.3,8.2,4.9,5.1,7.3,8.0,9.1,11.5,11.7
1908,mnth_highest,44.2,37.0,35.1,28.7,25.1,19.7,16.1,16.5,22.7,31.7,35.0,35.2
1908,mnth_lowest,12.7,9.4,6.3,4.3,2.9,-1.1,0.7,-0.5,-0.5,2.7,6.1,7.7
1908,mnth_mean_max,31.0,27.1,22.8,19.9,15.6,12.0,12.0,13.3,15.5,19.6,24.2,26.4
1908,mnth_mean_min,17.0,15.1,13.1,10.3,7.7,5.5,5.0,5.1,7.6,8.7,12.0,13.8
1909,mnth_highest,37.1,38.6,33.9,26.1,18.5,18.2,15.5,19.7,23.6,27.3,35.7,39.9
1909,mnth_lowest,8.1,8.9,4.7,4.3,4.4,0.3,0.7,0.3,3.3,4.1,4.1,6.4
1909,mnth_mean_max,23.7,25.2,23.9,17.6,15.1,12.9,12.3,13.6,16.0,19.8,23.7,24.0
1909,mnth_mean_min,13.9,13.6,12.8,8.8,8.6,7.2,5.1,6.2,7.8,9.1,10.1,11.2
1910,mnth_highest,40.2,39.1,34.9,29.3,21.6,19.7,16.1,19.2,23.9,28.7,32.5,34.9
1910,mnth_lowest,9.7,8.2,6.9,6.2,3.4,0.1,-0.1,1.8,2.5,2.9,4.1,6.2
1910,mnth_mean_max,26.2,27.3,24.2,21.0,17.3,14.5,12.7,15.3,17.2,17.7,23.0,22.9
1910,mnth_mean_min,14.8,14.7,13.2,10.8,9.7,7.8,5.9,7.4,8.3,8.6,11.8,11.4
1911,mnth_highest,35.9,32.3,31.3,28.2,25.1,16.2,17.2,22.3,24.3,29.9,40.7,30.3
1911,mnth_lowest,10.5,11.3,9.5,1.9,3.1,1.5,-1.3,3.4,0.9,2.1,2.7,6.0
1911,mnth_mean_max,25.3,24.8,22.3,18.7,16.2,12.3,12.7,16.1,17.2,18.9,23.2,22.6
1911,mnth_mean_min,14.3,15.5,13.6,9.4,9.6,6.2,4.7,8.5,8.9,8.9,11.1,12.4
1912,mnth_highest,39.3,41.3,34.3,26.9,23.9,18.7,17.3,22.0,27.3,32.4,37.5,38.9
1912,mnth_lowest,8.5,10.9,7.2,4.0,1.4,0.1,-0.7,1.6,2.2,2.5,4.1,6.7
1912,mnth_mean_max,25.8,26.5,24.0,18.5,17.0,14.1,13.1,15.4,17.1,19.9,20.9,22.5
1912,mnth_mean_min,13.4,15.9,13.6,10.6,6.5,6.8,5.3,7.0,7.7,8.5,11.3,12.2
1913,mnth_highest,38.6,40.7,35.3,28.6,21.1,16.4,17.3,18.7,21.1,31.3,31.7,37.7
