Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,014015,1972,12,33.4,Y
IDCJAC0002,014015,1973,01,32.3,Y
IDCJAC0002,014015,1973,02,32.4,Y
IDCJAC0002,014015,1973,03,31.7,Y
IDCJAC0002,014015,1973,04,33.1,Y
IDCJAC0002,014015,1973,05,33.1,Y
IDCJAC0002,014015,1973,06,31.6,Y
IDCJAC0002,014015,1973,07,31.3,Y
IDCJAC0002,014015,1973,08,32.8,Y
IDCJAC0002,014015,1973,09,33.3,Y
IDCJAC0002,014015,1973,10,34.4,Y
IDCJAC0002,014015,1973,11,32.7,Y
IDCJAC0002,014015,1973,12,32.4,Y
IDCJAC0002,014015,1974,01,30.1,Y
IDCJAC0002,014015,1974,02,30.8,Y
IDCJAC0002,014015,1974,03,30.4,Y
IDCJAC0002,014015,1974,04,32.6,Y
IDCJAC0002,014015,1974,05,31.7,Y
IDCJAC0002,014015,1974,06,29.6,Y
IDCJAC0002,014015,1974,07,30.9,Y
IDCJAC0002,014015,1974,08,31.2,Y
IDCJAC0002,014015,1974,09,32.8,Y
IDCJAC0002,014015,1974,10,32.7,Y
IDCJAC0002,014015,1974,11,32.7,Y
IDCJAC0002,014015,1974,12,31.1,Y
IDCJAC0002,014015,1975,01,32.7,Y
IDCJAC0002,014015,1975,02,31.6,Y
IDCJAC0002,014015,1975,03,31.7,Y
IDCJAC0002,014015,1975,04,33.0,Y
IDCJAC0002,014015,1975,05,32.9,Y
IDCJAC0002,014015,1975,06,30.6,Y
IDCJAC0002,014015,1975,07,32.2,Y
IDCJAC0002,014015,1975,08,32.1,Y
IDCJAC0002,014015,1975,09,33.5,Y
IDCJAC0002,014015,1975,10,33.2,Y
IDCJAC0002,014015,1975,11,32.6,Y
IDCJAC0002,014015,1975,12,32.1,Y
IDCJAC0002,014015,1976,01,31.1,Y
IDCJAC0002,014015,1976,02,30.7,Y
IDCJAC0002,014015,1976,03,30.9,Y
IDCJAC0002,014015,1976,04,33.7,Y
IDCJAC0002,014015,1976,05,32.5,Y
IDCJAC0002,014015,1976,06,31.1,Y
IDCJAC0002,014015,1976,07,30.7,Y
IDCJAC0002,014015,1976,08,31.1,Y
IDCJAC0002,014015,1976,09,32.8,Y
IDCJAC0002,014015,1976,10,33.4,Y
IDCJAC0002,014015,1976,11,34.4,Y
IDCJAC0002,014015,1976,12,33.7,Y
IDCJAC0002,014015,1977,01,31.8,Y
IDCJAC0002,014015,1977,02,31.7,Y
IDCJAC0002,014015,1977,03,29.7,Y
IDCJAC0002,014015,1977,04,32.3,Y
IDCJAC0002,014015,1977,05,30.9,Y
IDCJAC0002,014015,1977,06,29.4,Y
IDCJAC0002,014015,1977,07,29.6,Y
IDCJAC0002,014015,1977,08,31.4,Y
IDCJAC0002,014015,1977,09,32.0,Y
IDCJAC0002,014015,1977,10,33.1,Y
IDCJAC0002,014015,1977,11,33.5,Y
IDCJAC0002,014015,1977,12,32.9,Y
IDCJAC0002,014015,1978,01,31.6,Y
IDCJAC0002,014015,1978,02,31.3,Y
IDCJAC0002,014015,1978,03,33.0,Y
IDCJAC0002,014015,1978,04,33.4,Y
IDCJAC0002,014015,1978,05,33.1,Y
IDCJAC0002,014015,1978,06,30.8,Y
IDCJAC0002,014015,1978,07,30.6,Y
IDCJAC0002,014015,1978,08,32.1,Y
IDCJAC0002,014015,1978,09,32.5,Y
IDCJAC0002,014015,1978,10,32.9,Y
IDCJAC0002,014015,1978,11,32.7,Y
IDCJAC0002,014015,1978,12,33.0,Y
IDCJAC0002,014015,1979,01,31.7,Y
IDCJAC0002,014015,1979,02,32.3,Y
IDCJAC0002,014015,1979,03,32.5,Y
IDCJAC0002,014015,1979,04,33.6,Y
IDCJAC0002,014015,1979,05,32.2,Y
IDCJAC0002,014015,1979,06,31.4,Y
IDCJAC0002,014015,1979,07,30.9,Y
IDCJAC0002,014015,1979,08,31.4,Y
IDCJAC0002,014015,1979,09,33.0,Y
IDCJAC0002,014015,1979,10,33.7,Y
IDCJAC0002,014015,1979,11,34.3,Y
IDCJAC0002,014015,1979,12,33.7,Y
IDCJAC0002,014015,1980,01,31.6,Y
IDCJAC0002,014015,1980,02,30.7,Y
IDCJAC0002,014015,1980,03,32.3,Y
